name,emoji_unicode,average_color
😀,U+1F600,211 169 53
🙀,U+1F640,227 174 53
📂,U+1F4C2,244 201 53
🎸,U+1F3B8,191 36 53
🛕,U+1F6D5,208 90 53
📴,U+1F4F4,133 94 53
💊,U+1F48A,232 135 54
🥲,U+1F972,222 190 54
💢,U+1F4A2,229 66 54
🏆,U+1F3C6,207 162 55
🛶,U+1F6F6,185 123 56
🤸,U+1F938,204 149 56
😓,U+1F613,213 158 56
🥺,U+1F97A,226 177 56
🌽,U+1F33D,181 178 56
🧯,U+1F9EF,171 55 56
🦂,U+1F982,88 62 56
👞,U+1F45E,146 81 56
🥷,U+1F977,99 88 56
🥵,U+1F975,205 105 57
🎽,U+1F3BD,245 152 57
🍍,U+1F34D,192 159 57
🌻,U+1F33B,181 160 57
🪙,U+1FA99,242 200 57
🫣,U+1FAE3,245 200 57
🥮,U+1F96E,211 140 58
🌄,U+1F304,139 166 58
🌮,U+1F32E,216 174 58
🥊,U+1F94A,219 65 58
🌰,U+1F330,139 74 58
🍩,U+1F369,150 100 59
😻,U+1F63B,210 121 59
🥝,U+1F95D,134 149 59
📁,U+1F4C1,245 206 59
🚩,U+1F6A9,221 78 59
💂,U+1F482,118 80 59
😍,U+1F60D,218 130 60
⛹,U+26F9,159 146 60
🐢,U+1F422,94 152 60
🧇,U+1F9C7,229 154 60
🥳,U+1F973,220 167 60
🎄,U+1F384,83 140 61
🌭,U+1F32D,225 149 61
🤴,U+1F934,183 160 61
💚,U+1F49A,113 168 61
🐯,U+1F42F,220 171 61
🌝,U+1F31D,230 205 61
🚧,U+1F6A7,146 121 62
🥰,U+1F970,214 131 62
🥔,U+1F954,186 143 62
🌲,U+1F332,102 148 62
🔽,U+1F53D,249 153 62
🥹,U+1F979,212 182 62
❓,U+2753,235 62 62
💞,U+1F49E,210 63 62
🫀,U+1FAC0,221 68 62
🪤,U+1FAA4,163 111 63
🤹,U+1F939,168 115 63
🧸,U+1F9F8,204 128 63
🤼,U+1F93C,177 147 63
😹,U+1F639,206 161 63
😜,U+1F61C,216 167 63
😇,U+1F607,199 173 63
😲,U+1F632,229 184 63
🌛,U+1F31B,230 205 63
🌜,U+1F31C,230 205 63
📣,U+1F4E3,213 73 63
🥧,U+1F967,198 124 64
🎊,U+1F38A,195 154 64
💲,U+1F4B2,119 172 64
✍,U+270D,208 176 64
😪,U+1F62A,214 180 64
😬,U+1F62C,235 194 64
🔴,U+1F534,223 66 64
🪖,U+1FA96,89 108 65
🦁,U+1F981,180 138 65
🐲,U+1F432,63 141 65
🪴,U+1FAB4,141 146 65
🆚,U+1F19A,247 153 65
😅,U+1F605,197 160 65
🍂,U+1F342,242 160 65
🐍,U+1F40D,77 168 65
👒,U+1F452,249 192 65
🌕,U+1F315,244 218 65
🪳,U+1FAB3,147 86 65
💑,U+1F491,196 119 66
🍁,U+1F341,240 160 66
🐅,U+1F405,227 175 66
🥭,U+1F96D,204 176 66
🌙,U+1F319,242 217 66
🍓,U+1F353,196 101 67
🦜,U+1F99C,164 70 67
🫖,U+1FAD6,237 94 67
📮,U+1F4EE,219 98 67
🟤,U+1F7E4,135 99 67
🤎,U+1F90E,137 99 67
🟫,U+1F7EB,138 101 68
🛟,U+1F6DF,242 109 68
🤩,U+1F929,205 122 68
💏,U+1F48F,202 124 68
🟢,U+1F7E2,113 168 68
🟩,U+1F7E9,114 169 68
🛵,U+1F6F5,191 77 68
🤾,U+1F93E,183 138 69
🏡,U+1F3E1,177 149 69
🥜,U+1F95C,217 161 69
🫒,U+1FAD2,132 172 69
😳,U+1F633,237 189 69
👑,U+1F451,224 193 69
😁,U+1F601,235 195 69
🤬,U+1F92C,177 71 69
💯,U+1F4AF,211 71 69
🔖,U+1F516,216 72 69
🛻,U+1F6FB,198 88 69
🪑,U+1FA91,139 99 69
🏠,U+1F3E0,208 146 70
🤪,U+1F92A,218 165 70
⬛,U+2B1B,70 70 70
🫕,U+1FAD5,192 109 71
🛞,U+1F6DE,186 117 71
💄,U+1F484,221 118 71
🍹,U+1F379,242 152 71
🌵,U+1F335,119 169 71
🍀,U+1F340,119 170 71
👷,U+1F477,216 178 71
🫑,U+1FAD1,130 180 71
👱,U+1F471,177 190 71
🍋,U+1F34B,229 206 71
🌃,U+1F303,42 70 71
🧎,U+1F9CE,157 120 72
🐉,U+1F409,57 150 72
